dataset,metric,raw_gap,raw_ci_low,raw_ci_high,prevalence_adjusted_gap,prevalence_adjusted_ci_low,prevalence_adjusted_ci_high,attenuation_pct
diabetes_130_hospitals,ppv,0.0002520455904723995,-0.014781755825895347,0.014481886856272627,0.006657474794250995,-0.002013796994940237,0.015569961348521982,-2541.3772134529877
diabetes_130_hospitals,npv,-0.00019175288931660983,-0.007604346435682876,0.007860440059051099,-0.003216050308801899,-0.009177381823717504,0.002979859306868532,-1577.1847977173197
diabetes_130_hospitals,predicted_positive_rate,-0.04899641705684671,-0.06309340571637122,-0.03495608509363496,-0.04793510646608107,-0.06112972239883367,-0.03470753249280123,2.1660983690588744
diabetes_130_hospitals,sensitivity,-0.0485721372172373,-0.08382507359019756,-0.01092531497576922,,,,
diabetes_130_hospitals,fnr,0.0485721372172373,0.01092531497576922,0.08382507359019756,,,,
