dataset,metric,raw_gap,raw_ci_low,raw_ci_high,prevalence_adjusted_gap,prevalence_adjusted_ci_low,prevalence_adjusted_ci_high,attenuation_pct
brfss2022,ppv,0.10064276865445523,0.09273271817627025,0.10827141403652822,0.015505754606158384,0.010881308941625492,0.019985105365241715,84.5932749928656
brfss2022,npv,-0.014794457161627084,-0.01714066676449083,-0.01265179062084952,-0.0017154217952842776,-0.0036625939732818267,0.00012260886418966592,88.40496966841319
brfss2022,predicted_positive_rate,-0.011354858632210807,-0.01608978657705224,-0.00592009999725467,-0.03260530224185387,-0.03720157364381841,-0.027226845602755654,-187.14846479339718
brfss2022,sensitivity,-0.02238223288265917,-0.037304580449188364,-0.008300031934507877,,,,
brfss2022,fnr,0.02238223288265917,0.008300031934507877,0.037304580449188364,,,,
