dataset,comparison,group_a,group_b,n_a,n_b,n_pos_a,n_pos_b,prev_a,prev_b,auroc,best_model,sensitivity_a,sensitivity_b,sensitivity_gap,sensitivity_ci_low,sensitivity_ci_high,fnr_a,fnr_b,fnr_gap,fnr_ci_low,fnr_ci_high,ppv_raw_a,ppv_raw_b,ppv_gap_raw,ppv_gap_raw_ci_low,ppv_gap_raw_ci_high,npv_a,npv_b,ppr_a,ppr_b,ppr_gap,ppr_ci_low,ppr_ci_high,ppv_gap_adj,ppv_gap_adj_ci_low,ppv_gap_adj_ci_high,ppv_attenuation_pct,exploratory,is_secondary,note
Diabetes-130 (readmission),AfricanAmerican_vs_Caucasian,AfricanAmerican,Caucasian,5710,23127,655,2649,0.11471103327495621,0.11454144506421066,0.6682631087301065,xgboost,0.5954198473282443,0.6353340883352209,-0.0399142410069766,-0.09049308887432221,0.006248268514719287,0.40458015267175573,0.36466591166477913,0.0399142410069766,-0.006248268514719287,0.09049308887432221,0.17210944395410416,0.17300575657894737,-0.0008963126248432152,-0.022487952808680232,0.020878728270683444,0.923054587688734,0.9279050675423539,0.3968476357267951,0.4206338911229299,-0.023786255396134826,-0.04246331175110404,-0.0047893141417474664,-0.0011345299868954495,-0.0133904092121604,0.0112151017307659,-26.57748596299241,False,False,
BRFSS 2022 (heart disease),Black_vs_White,Black,White,10550,95137,803,9301,0.07611374407582938,0.09776427677980176,0.8278294146761754,xgboost,0.8044831880448319,0.8041070852596495,0.00037610278518240836,-0.028792689055656028,0.027223998823491247,0.19551681195516812,0.19589291474035053,-0.00037610278518240836,-0.027223998823491247,0.028792689055656028,0.17222074113569716,0.22352062163777645,-0.05129988050207929,-0.06437554599059137,-0.039122014360435185,0.9769083688777761,0.9704590041668694,0.35554502369668245,0.351703333088073,0.0038416906086094493,-0.005165673428695279,0.013370583140591434,-0.008548604091307449,-0.01660493897838586,-0.0010249134220574594,83.33601558592137,False,False,
NHANES 2017-18 (diabetes),Black_vs_White,Black,White,429,584,89,94,0.20745920745920746,0.16095890410958905,0.7892784251761142,l1_logistic_regression,0.797752808988764,0.8085106382978723,-0.010757829309108291,-0.1277737074694312,0.11108585653213994,0.202247191011236,0.19148936170212771,0.010757829309108291,-0.11108585653213994,0.1277737074694312,0.42011834319526625,0.2825278810408922,0.13759046215437404,0.046687252576590205,0.2257491152239351,0.9307692307692308,0.9428571428571428,0.3939393939393939,0.4606164383561644,-0.06667704441677047,-0.12826619727304656,-0.001980154548647716,0.0674002254383172,0.01297445554897561,0.12480745034017934,51.013882515566124,True,False,NHANES exploratory: test positives Black=89; White=94
