dataset,comparison,trigger_min_test_pos,trigger_reason,protocol,mean_gap,sd_gap,min_gap,max_gap,n_positive_dir,n_negative_dir,majority_direction,n_seeds_majority,stable
BRFSS 2022 (heart disease),Hispanic_vs_White,760,prespecified_follow_up,legacy_fixed_logistic_isotonic,-0.11342124537593405,0.011294277639724586,-0.13134316032866755,-0.0969019517751677,0,10,negative,10,True
NHANES 2017-18 (diabetes),Black_vs_White,89,small_test_positive_count,legacy_fixed_logistic_isotonic,0.0355498468252866,0.03971472469502187,-0.05329576084293064,0.09654496446949268,8,2,positive,8,False
