dataset,command_id,analysis_role,protected_attribute,comparison,group,group_value,metric,estimate,ci_low,ci_high,ci_method,numerator,denominator,selected_family,test_auroc,threshold
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Female,Female,ppv,0.16606654184070285,0.15660656869586867,0.17675796263146912,patient_cluster_bootstrap,1153,6943,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Female,Female,prevalence,0.11117947455854303,0.10552587575431743,0.11711541122879222,patient_cluster_bootstrap,1807,16253,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Female,Female,sensitivity,0.6380741560597676,0.6142289251830148,0.6622149286519867,patient_cluster_bootstrap,1153,1807,xgboost,0.668201542077142,0.11265244541301705
sex_diabetes130,sex_diabetes130,primary,gender,Male vs Female,Female,Female,specificity,0.5991970095528174,0.5898350961781422,0.6079311366590985,patient_cluster_bootstrap,8656,14446,xgboost,0.668201542077142,0.11265244541301705
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Male,1.0,npv,0.9651129402756509,0.9633105226395015,0.9668298607836326,wilson,40334,41792,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Male,1.0,ppv,0.27188985736925514,0.2657967141263088,0.2780697784492415,wilson,5490,20192,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Male,1.0,prevalence,0.11209344346928239,0.10963384095222144,0.11460112402965382,wilson,6948,61984,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Male,1.0,sensitivity,0.7901554404145078,0.7804217500232233,0.7995684617621857,wilson,5490,6948,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Male,1.0,specificity,0.7328657605930664,0.7291530080499747,0.7365460078016092,wilson,40334,55036,xgboost,0.836544666547034,0.09032157545029328
sex_brfss,sex_brfss,primary,SEXVAR,Male vs Female,Female,2.0,npv,0.979907397437278,0.9785908839361243,0.9811445142761942,wilson,45502,46435,xgboost,0.836544666547034,0.09032157545029328
